Номер,Тип,Модель,Типоразмер,Диаметр ММ,Производительность м3/ч,Давление(па),Мощность(ВТ),Уровень шума,Цена в рублях
2409,ВР,ВР 30-160-025-1,ВР 30-160-025,250,290 - 8950,145 - 792,7500,95,119500
2410,ВР,ВР 30-160-025-2,ВР 30-160-025,250,300 - 7870,152 - 805,7500,87,124000
2411,ВР,ВР 30-160-025-2,ВР 30-160-025,250,250 - 7420,152 - 722,15000,90,213600
2412,ВР,ВР 30-160-025-4,ВР 30-160-025,250,260 - 7890,144 - 699,7500,104,120100
2413,ВР,ВР 30-160-025-4,ВР 30-160-025,250,290 - 7620,147 - 714,11000,75,165000
2414,ВР,ВР 30-160-025-1,ВР 30-160-025,250,300 - 7260,151 - 751,1100,79,44700
2415,ВР,ВР 30-160-025-3,ВР 30-160-025,250,320 - 8390,146 - 749,4000,94,91600
2416,ВР,ВР 30-160-025-5,ВР 30-160-025,250,300 - 8540,133 - 806,250,82,44500
2417,ВР,ВР 30-160-025-1,ВР 30-160-025,250,280 - 7630,151 - 767,550,102,40300
2418,ВР,ВР 30-160-025-4,ВР 30-160-025,250,280 - 7380,127 - 731,2200,75,64000
2419,ВР,ВР 30-160-025-4,ВР 30-160-025,250,230 - 6450,140 - 721,180,103,39900
2420,ВР,ВР 30-160-025-3,ВР 30-160-025,250,300 - 8310,127 - 756,4000,77,87900
2421,ВР,ВР 30-160-025-1,ВР 30-160-025,250,250 - 6960,152 - 804,250,74,44600
2422,ВР,ВР 30-160-025-1,ВР 30-160-025,250,290 - 7240,139 - 733,11000,91,167100
2423,ВР,ВР 30-160-025-2,ВР 30-160-025,250,320 - 7660,128 - 843,2200,82,63500
2424,ВР,ВР 30-160-025-1,ВР 30-160-025,250,240 - 8370,140 - 725,15000,95,214600
2425,ВР,ВР 30-160-025-1,ВР 30-160-025,250,300 - 6920,147 - 848,2200,81,57700
2426,ВР,ВР 30-160-025-2,ВР 30-160-025,250,330 - 6980,151 - 705,370,92,38600
2427,ВР,ВР 30-160-025-3,ВР 30-160-025,250,330 - 7130,135 - 787,5500,105,101400
2428,ВР,ВР 30-160-025-4,ВР 30-160-025,250,330 - 8880,142 - 768,1500,70,59100
2429,ВР,ВР 30-160-025-1,ВР 30-160-025,250,240 - 7440,145 - 850,7500,105,121400
2430,ВР,ВР 30-160-025-4,ВР 30-160-025,250,320 - 7690,139 - 792,370,96,38700
2431,ВР,ВР 30-160-025-1,ВР 30-160-025,250,270 - 7230,138 - 845,1100,87,55800
2432,ВР,ВР 30-160-025-2,ВР 30-160-025,250,260 - 7330,138 - 792,15000,94,208600
2433,ВР,ВР 30-160-025-5,ВР 30-160-025,250,230 - 6640,149 - 793,15000,74,211200
2434,ВР,ВР 30-160-025-3,ВР 30-160-025,250,330 - 8620,144 - 843,7500,78,120200
2435,ВР,ВР 30-160-025-2,ВР 30-160-025,250,290 - 7590,145 - 723,1100,76,57300
2436,ВР,ВР 30-160-025-1,ВР 30-160-025,250,290 - 7470,141 - 786,550,85,42200
2437,ВР,ВР 30-160-025-5,ВР 30-160-025,250,310 - 7170,147 - 767,370,94,41500
2438,ВР,ВР 30-160-025-5,ВР 30-160-025,250,310 - 7000,152 - 698,750,85,47400
2439,ВР,ВР 30-160-025-4,ВР 30-160-025,250,300 - 6440,152 - 800,7500,99,132300
2440,ВР,ВР 30-160-025-1,ВР 30-160-025,250,330 - 7680,144 - 796,250,99,47300
2441,ВР,ВР 30-160-025-2,ВР 30-160-025,250,270 - 6830,137 - 702,5500,93,97900
2442,ВР,ВР 30-160-025-2,ВР 30-160-025,250,260 - 9120,147 - 779,750,95,46100
2443,ВР,ВР 30-160-025-3,ВР 30-160-025,250,310 - 8650,153 - 814,2200,81,68100
2444,ВР,ВР 30-160-025-5,ВР 30-160-025,250,270 - 6200,151 - 807,11000,81,171800
2445,ВР,ВР 30-160-025-5,ВР 30-160-025,250,300 - 7800,135 - 762,3000,86,76900
2446,ВР,ВР 30-160-025-4,ВР 30-160-025,250,330 - 7120,134 - 737,550,71,40700
2447,ВР,ВР 30-160-025-4,ВР 30-160-025,250,320 - 7880,132 - 812,11000,82,171800
2448,ВР,ВР 30-160-025-2,ВР 30-160-025,250,330 - 9170,137 - 743,750,104,47400
2449,ВР,ВР 30-160-025-2,ВР 30-160-025,250,270 - 8690,137 - 750,1100,71,51300
2450,ВР,ВР 30-160-025-5,ВР 30-160-025,250,250 - 6340,138 - 757,7500,94,128300
2451,ВР,ВР 30-160-025-3,ВР 30-160-025,250,270 - 8440,128 - 732,370,89,48100
2452,ВР,ВР 30-160-025-4,ВР 30-160-025,250,310 - 8410,151 - 722,5500,89,94300
2453,ВР,ВР 30-160-025-5,ВР 30-160-025,250,250 - 8390,149 - 742,180,98,32800
2454,ВР,ВР 30-160-025-5,ВР 30-160-025,250,260 - 8080,154 - 772,2200,83,63500
2455,ВР,ВР 30-160-025-5,ВР 30-160-025,250,320 - 7040,146 - 782,2200,75,66000
2456,ВР,ВР 30-160-025-3,ВР 30-160-025,250,230 - 9130,127 - 833,2200,80,61100
2457,ВР,ВР 30-160-025-2,ВР 30-160-025,250,270 - 8280,138 - 795,15000,91,220600
2458,ВР,ВР 30-160-025-4,ВР 30-160-025,250,240 - 9160,141 - 739,15000,91,207700
2459,ВР,ВР 30-160-025-3,ВР 30-160-025,250,290 - 6660,131 - 788,15000,83,217700
2460,ВР,ВР 30-160-025-1,ВР 30-160-025,250,230 - 7800,154 - 710,750,101,41600
2461,ВР,ВР 30-160-025-1,ВР 30-160-025,250,320 - 8900,135 - 761,15000,90,207200
2462,ВР,ВР 30-160-025-3,ВР 30-160-025,250,270 - 6840,128 - 770,750,72,40400
2463,ВР,ВР 30-160-025-5,ВР 30-160-025,250,320 - 7980,133 - 765,3000,87,65200
2464,ВР,ВР 30-160-025-5,ВР 30-160-025,250,330 - 8870,132 - 751,5500,88,101100
2465,ВР,ВР 30-160-025-1,ВР 30-160-025,250,240 - 7920,146 - 811,15000,74,211700
2466,ВР,ВР 30-160-025-2,ВР 30-160-025,250,280 - 6590,152 - 831,1100,96,50400
2467,ВР,ВР 30-160-025-2,ВР 30-160-025,250,330 - 6390,130 - 839,3000,104,70900
2468,ВР,ВР 30-160-025-1,ВР 30-160-025,250,330 - 9210,135 - 718,11000,97,166700
2469,ВР,ВР 30-160-025-2,ВР 30-160-025,250,320 - 8190,147 - 759,3000,81,70800
2470,ВР,ВР 30-160-025-5,ВР 30-160-025,250,290 - 7000,154 - 779,180,70,47200
2471,ВР,ВР 30-160-025-4,ВР 30-160-025,250,240 - 6540,133 - 752,3000,93,70300
2472,ВР,ВР 30-160-025-5,ВР 30-160-025,250,260 - 7620,147 - 839,7500,78,118200
2473,ВР,ВР 30-160-025-3,ВР 30-160-025,250,300 - 8120,150 - 803,15000,84,212900
2474,ВР,ВР 30-160-025-3,ВР 30-160-025,250,320 - 6360,137 - 704,2200,95,63300
2475,ВР,ВР 30-160-025-5,ВР 30-160-025,250,240 - 8990,136 - 705,2200,84,67300
2476,ВР,ВР 30-160-025-3,ВР 30-160-025,250,290 - 7620,137 - 705,5500,77,105000
2477,ВР,ВР 30-160-025-2,ВР 30-160-025,250,230 - 8470,152 - 821,4000,102,89000
2478,ВР,ВР 30-160-025-5,ВР 30-160-025,250,250 - 6330,137 - 821,1100,100,57600
2479,ВР,ВР 30-160-025-3,ВР 30-160-025,250,290 - 8710,136 - 797,5500,74,101000
2480,ВР,ВР 30-160-025-3,ВР 30-160-025,250,290 - 8010,128 - 729,7500,95,130400
2481,ВР,ВР 30-160-025-5,ВР 30-160-025,250,230 - 8740,152 - 815,180,88,39000
2482,ВР,ВР 30-160-025-2,ВР 30-160-025,250,250 - 6500,139 - 851,250,77,41900
2483,ВР,ВР 30-160-025-5,ВР 30-160-025,250,320 - 7550,135 - 714,5500,97,103600
2484,ВР,ВР 30-160-025-2,ВР 30-160-025,250,330 - 8650,130 - 747,15000,74,205600
2485,ВР,ВР 30-160-025-1,ВР 30-160-025,250,240 - 7220,129 - 745,5500,95,107300
2486,ВР,ВР 30-160-025-5,ВР 30-160-025,250,320 - 6620,145 - 793,5500,93,98300
2487,ВР,ВР 30-160-025-1,ВР 30-160-025,250,220 - 8520,135 - 782,5500,93,106700
2488,ВР,ВР 30-160-025-1,ВР 30-160-025,250,320 - 7770,132 - 742,750,99,47600
2489,ВР,ВР 30-160-025-3,ВР 30-160-025,250,310 - 7670,134 - 825,5500,94,96200
2490,ВР,ВР 30-160-025-3,ВР 30-160-025,250,260 - 8260,148 - 815,1100,83,53200
2491,ВР,ВР 30-160-025-1,ВР 30-160-025,250,240 - 8140,151 - 813,4000,96,79700
2492,ВР,ВР 30-160-025-2,ВР 30-160-025,250,320 - 6730,128 - 837,5500,70,109600
2493,ВР,ВР 30-160-025-3,ВР 30-160-025,250,310 - 7600,127 - 790,11000,73,166100
2494,ВР,ВР 30-160-025-5,ВР 30-160-025,250,330 - 8690,152 - 826,1500,102,56500
2495,ВР,ВР 30-160-025-2,ВР 30-160-025,250,310 - 6260,136 - 708,5500,72,106800
2496,ВР,ВР 30-160-025-3,ВР 30-160-025,250,330 - 8710,145 - 736,4000,77,83900
2497,ВР,ВР 30-160-025-3,ВР 30-160-025,250,330 - 8490,131 - 808,7500,94,132800
2498,ВР,ВР 30-160-025-5,ВР 30-160-025,250,300 - 6420,137 - 717,1500,77,51400
2499,ВР,ВР 30-160-025-5,ВР 30-160-025,250,320 - 8740,134 - 797,250,74,35400
2500,ВР,ВР 30-160-025-1,ВР 30-160-025,250,230 - 8040,144 - 757,250,94,41300
2501,ВР,ВР 30-160-025-1,ВР 30-160-025,250,310 - 7880,144 - 752,3000,103,67100
2502,ВР,ВР 30-160-025-2,ВР 30-160-025,250,290 - 6550,127 - 703,750,85,45800
2503,ВР,ВР 30-160-025-4,ВР 30-160-025,250,220 - 8040,129 - 814,550,87,43500
2504,ВР,ВР 30-160-025-3,ВР 30-160-025,250,260 - 6680,152 - 773,250,102,47600
2505,ВР,ВР 30-160-025-2,ВР 30-160-025,250,280 - 9230,154 - 715,1500,81,49200
2506,ВР,ВР 30-160-025-4,ВР 30-160-025,250,300 - 8090,143 - 811,750,86,39200
2507,ВР,ВР 30-160-031-1,ВР 30-160-031,315,370 - 8690,191 - 1030,250,70,43800
2508,ВР,ВР 30-160-031-3,ВР 30-160-031,315,310 - 8970,164 - 935,3000,96,79300
2509,ВР,ВР 30-160-031-1,ВР 30-160-031,315,330 - 10430,187 - 895,2200,80,64500
2510,ВР,ВР 30-160-031-1,ВР 30-160-031,315,340 - 10530,182 - 1004,7500,71,123500
2511,ВР,ВР 30-160-031-2,ВР 30-160-031,315,410 - 8020,171 - 891,750,73,54900
2512,ВР,ВР 30-160-031-3,ВР 30-160-031,315,380 - 9820,167 - 1018,1100,75,54200
2513,ВР,ВР 30-160-031-4,ВР 30-160-031,315,330 - 10290,185 - 930,550,88,55800
2514,ВР,ВР 30-160-031-3,ВР 30-160-031,315,330 - 7870,173 - 934,1500,92,64800
2515,ВР,ВР 30-160-031-1,ВР 30-160-031,315,290 - 8100,190 - 936,370,99,47500
2516,ВР,ВР 30-160-031-3,ВР 30-160-031,315,360 - 8200,191 - 990,11000,103,173700
2517,ВР,ВР 30-160-031-1,ВР 30-160-031,315,420 - 10300,170 - 1033,11000,91,173200
2518,ВР,ВР 30-160-031-4,ВР 30-160-031,315,370 - 9450,185 - 908,1500,100,67800
2519,ВР,ВР 30-160-031-2,ВР 30-160-031,315,320 - 9000,192 - 1022,4000,76,96000
2520,ВР,ВР 30-160-031-5,ВР 30-160-031,315,370 - 11300,173 - 1021,1100,75,59500
2521,ВР,ВР 30-160-031-3,ВР 30-160-031,315,290 - 11670,163 - 909,1500,77,66900
2522,ВР,ВР 30-160-031-2,ВР 30-160-031,315,360 - 9220,166 - 887,250,88,39600
2523,ВР,ВР 30-160-031-2,ВР 30-160-031,315,320 - 9920,182 - 954,1500,83,64700
2524,ВР,ВР 30-160-031-5,ВР 30-160-031,315,330 - 10190,194 - 1008,370,98,43700
2525,ВР,ВР 30-160-031-5,ВР 30-160-031,315,370 - 10810,164 - 898,5500,105,107400
2526,ВР,ВР 30-160-031-3,ВР 30-160-031,315,300 - 9050,163 - 1016,7500,98,123100
2527,ВР,ВР 30-160-031-5,ВР 30-160-031,315,360 - 10670,165 - 1018,180,82,48800
2528,ВР,ВР 30-160-031-5,ВР 30-160-031,315,320 - 10710,162 - 1023,370,86,53700
2529,ВР,ВР 30-160-031-1,ВР 30-160-031,315,290 - 7960,172 - 920,550,105,56500
2530,ВР,ВР 30-160-031-2,ВР 30-160-031,315,400 - 8530,172 - 894,4000,88,93700
2531,ВР,ВР 30-160-031-1,ВР 30-160-031,315,340 - 11270,175 - 1032,15000,70,225500
2532,ВР,ВР 30-160-031-2,ВР 30-160-031,315,340 - 10430,165 - 958,4000,102,90300
2533,ВР,ВР 30-160-031-2,ВР 30-160-031,315,360 - 8660,162 - 887,5500,95,100800
2534,ВР,ВР 30-160-031-1,ВР 30-160-031,315,340 - 8270,173 - 1037,5500,73,105000
2535,ВР,ВР 30-160-031-3,ВР 30-160-031,315,370 - 11210,182 - 969,550,102,50200
2536,ВР,ВР 30-160-031-5,ВР 30-160-031,315,390 - 8330,185 - 903,250,102,45800
2537,ВР,ВР 30-160-031-5,ВР 30-160-031,315,400 - 10960,171 - 1044,15000,84,215600
2538,ВР,ВР 30-160-031-4,ВР 30-160-031,315,390 - 10210,192 - 897,15000,73,222200
2539,ВР,ВР 30-160-031-5,ВР 30-160-031,315,380 - 10220,160 - 979,1100,101,49000
2540,ВР,ВР 30-160-031-5,ВР 30-160-031,315,380 - 7910,162 - 1053,3000,81,76300
2541,ВР,ВР 30-160-031-5,ВР 30-160-031,315,340 - 10260,168 - 1053,1100,80,48200
2542,ВР,ВР 30-160-031-5,ВР 30-160-031,315,360 - 10600,176 - 892,11000,102,165600
2543,ВР,ВР 30-160-031-2,ВР 30-160-031,315,400 - 9660,171 - 948,4000,105,94800
2544,ВР,ВР 30-160-031-3,ВР 30-160-031,315,400 - 9130,186 - 969,7500,87,124500
2545,ВР,ВР 30-160-031-2,ВР 30-160-031,315,410 - 11230,165 - 895,11000,91,164100
2546,ВР,ВР 30-160-031-5,ВР 30-160-031,315,300 - 7800,184 - 943,1500,81,58700
2547,ВР,ВР 30-160-031-3,ВР 30-160-031,315,400 - 11330,191 - 1030,3000,82,77100
2548,ВР,ВР 30-160-031-3,ВР 30-160-031,315,370 - 9670,166 - 895,1100,78,50900
2549,ВР,ВР 30-160-031-2,ВР 30-160-031,315,390 - 11280,179 - 1012,4000,76,91400
2550,ВР,ВР 30-160-031-4,ВР 30-160-031,315,310 - 10590,167 - 919,370,70,45800
2551,ВР,ВР 30-160-031-1,ВР 30-160-031,315,320 - 10530,180 - 1068,180,98,47400
2552,ВР,ВР 30-160-031-3,ВР 30-160-031,315,400 - 9280,164 - 1000,750,95,49000
2553,ВР,ВР 30-160-031-5,ВР 30-160-031,315,300 - 8920,163 - 918,1100,81,52300
2554,ВР,ВР 30-160-031-1,ВР 30-160-031,315,360 - 9490,187 - 982,3000,92,73800
2555,ВР,ВР 30-160-031-3,ВР 30-160-031,315,310 - 8590,160 - 882,4000,72,89400
2556,ВР,ВР 30-160-031-3,ВР 30-160-031,315,420 - 9760,180 - 972,370,85,54700
2557,ВР,ВР 30-160-031-1,ВР 30-160-031,315,350 - 8160,161 - 965,7500,71,131500
2558,ВР,ВР 30-160-031-3,ВР 30-160-031,315,290 - 10480,192 - 950,250,74,45900
2559,ВР,ВР 30-160-031-1,ВР 30-160-031,315,420 - 9400,182 - 961,5500,81,99300
2560,ВР,ВР 30-160-031-1,ВР 30-160-031,315,320 - 10410,190 - 1002,15000,98,217800
2561,ВР,ВР 30-160-031-2,ВР 30-160-031,315,380 - 7970,194 - 964,370,89,48800
2562,ВР,ВР 30-160-031-1,ВР 30-160-031,315,400 - 10240,179 - 1072,7500,93,127600
2563,ВР,ВР 30-160-031-4,ВР 30-160-031,315,370 - 8850,172 - 1044,2200,103,65200
2564,ВР,ВР 30-160-031-3,ВР 30-160-031,315,410 - 11260,164 - 941,370,80,43100
2565,ВР,ВР 30-160-031-4,ВР 30-160-031,315,370 - 8340,188 - 992,750,87,52600
2566,ВР,ВР 30-160-031-4,ВР 30-160-031,315,340 - 9340,173 - 1000,3000,95,70900
2567,ВР,ВР 30-160-031-3,ВР 30-160-031,315,340 - 8460,183 - 963,3000,97,79100
2568,ВР,ВР 30-160-031-4,ВР 30-160-031,315,300 - 8090,170 - 938,2200,71,69400
2569,ВР,ВР 30-160-031-4,ВР 30-160-031,315,320 - 10370,185 - 934,11000,80,168000
2570,ВР,ВР 30-160-031-3,ВР 30-160-031,315,310 - 8090,164 - 1021,15000,84,221400
2571,ВР,ВР 30-160-031-5,ВР 30-160-031,315,280 - 9830,170 - 1069,3000,84,84200
2572,ВР,ВР 30-160-031-1,ВР 30-160-031,315,380 - 9720,167 - 977,11000,80,173400
2573,ВР,ВР 30-160-031-2,ВР 30-160-031,315,410 - 8580,186 - 962,180,89,49800
2574,ВР,ВР 30-160-031-2,ВР 30-160-031,315,330 - 9530,184 - 945,4000,79,95000
2575,ВР,ВР 30-160-031-3,ВР 30-160-031,315,320 - 9090,185 - 1014,2200,102,63100
2576,ВР,ВР 30-160-031-1,ВР 30-160-031,315,410 - 9910,168 - 1016,7500,92,133100
2577,ВР,ВР 30-160-031-5,ВР 30-160-031,315,390 - 10370,167 - 1054,370,72,52800
2578,ВР,ВР 30-160-031-2,ВР 30-160-031,315,350 - 10830,188 - 1061,3000,81,75200
2579,ВР,ВР 30-160-031-5,ВР 30-160-031,315,400 - 11290,170 - 983,180,83,39700
2580,ВР,ВР 30-160-031-2,ВР 30-160-031,315,290 - 10570,176 - 1031,3000,89,80300
2581,ВР,ВР 30-160-031-3,ВР 30-160-031,315,340 - 10930,163 - 891,750,94,46700
2582,ВР,ВР 30-160-031-3,ВР 30-160-031,315,390 - 10160,180 - 903,180,98,50700
2583,ВР,ВР 30-160-031-1,ВР 30-160-031,315,300 - 9820,170 - 914,250,94,47200
2584,ВР,ВР 30-160-031-1,ВР 30-160-031,315,330 - 11170,186 - 923,2200,82,66400
2585,ВР,ВР 30-160-031-5,ВР 30-160-031,315,320 - 11100,176 - 955,11000,82,175900
2586,ВР,ВР 30-160-031-3,ВР 30-160-031,315,340 - 9020,167 - 903,1100,102,55700
2587,ВР,ВР 30-160-031-1,ВР 30-160-031,315,390 - 8110,180 - 952,750,81,48700
2588,ВР,ВР 30-160-031-5,ВР 30-160-031,315,400 - 10250,163 - 998,1500,91,62500
2589,ВР,ВР 30-160-031-3,ВР 30-160-031,315,310 - 9550,188 - 903,1500,90,58600
2590,ВР,ВР 30-160-031-4,ВР 30-160-031,315,330 - 9690,166 - 957,7500,78,135300
2591,ВР,ВР 30-160-031-4,ВР 30-160-031,315,290 - 10250,162 - 933,2200,95,67500
2592,ВР,ВР 30-160-031-1,ВР 30-160-031,315,300 - 11440,172 - 1020,15000,75,222900
2593,ВР,ВР 30-160-031-4,ВР 30-160-031,315,340 - 7950,192 - 1013,11000,76,173000
2594,ВР,ВР 30-160-031-2,ВР 30-160-031,315,410 - 11280,178 - 937,750,72,58800
2595,ВР,ВР 30-160-031-1,ВР 30-160-031,315,370 - 11370,171 - 894,4000,78,92700
2596,ВР,ВР 30-160-031-3,ВР 30-160-031,315,400 - 10320,168 - 1002,250,104,52800
2597,ВР,ВР 30-160-031-4,ВР 30-160-031,315,290 - 9320,191 - 971,250,101,44500
2598,ВР,ВР 30-160-031-2,ВР 30-160-031,315,410 - 10790,190 - 1038,5500,85,112000
2599,ВР,ВР 30-160-040-1,ВР 30-160-040,400,460 - 12920,246 - 1197,4000,77,94000
2600,ВР,ВР 30-160-040-3,ВР 30-160-040,400,510 - 11320,241 - 1213,3000,77,82900
2601,ВР,ВР 30-160-040-1,ВР 30-160-040,400,480 - 14180,213 - 1269,250,100,53400
2602,ВР,ВР 30-160-040-3,ВР 30-160-040,400,430 - 12810,233 - 1352,1100,93,59500
2603,ВР,ВР 30-160-040-5,ВР 30-160-040,400,480 - 14780,233 - 1324,370,76,48100
2604,ВР,ВР 30-160-040-1,ВР 30-160-040,400,540 - 12560,246 - 1314,2200,70,68900
2605,ВР,ВР 30-160-040-2,ВР 30-160-040,400,430 - 11080,210 - 1277,11000,83,177500
2606,ВР,ВР 30-160-040-3,ВР 30-160-040,400,370 - 11240,236 - 1360,1500,103,61000
2607,ВР,ВР 30-160-040-2,ВР 30-160-040,400,530 - 12960,213 - 1123,2200,85,75500
2608,ВР,ВР 30-160-040-4,ВР 30-160-040,400,530 - 13130,205 - 1275,3000,103,86300
2609,ВР,ВР 30-160-040-3,ВР 30-160-040,400,400 - 14080,204 - 1342,15000,96,219500
2610,ВР,ВР 30-160-040-1,ВР 30-160-040,400,470 - 11470,247 - 1361,250,94,58200
2611,ВР,ВР 30-160-040-3,ВР 30-160-040,400,400 - 13280,234 - 1161,5500,83,112700
2612,ВР,ВР 30-160-040-4,ВР 30-160-040,400,530 - 13300,231 - 1162,7500,83,139100
2613,ВР,ВР 30-160-040-1,ВР 30-160-040,400,450 - 13380,242 - 1245,15000,104,228100
2614,ВР,ВР 30-160-040-3,ВР 30-160-040,400,420 - 10480,206 - 1306,750,91,52500
2615,ВР,ВР 30-160-040-2,ВР 30-160-040,400,390 - 12740,219 - 1183,3000,92,80200
2616,ВР,ВР 30-160-040-4,ВР 30-160-040,400,400 - 11570,230 - 1326,550,70,52400
2617,ВР,ВР 30-160-040-4,ВР 30-160-040,400,360 - 12610,229 - 1169,3000,100,78600
2618,ВР,ВР 30-160-040-1,ВР 30-160-040,400,520 - 14490,207 - 1282,750,75,62000
2619,ВР,ВР 30-160-040-1,ВР 30-160-040,400,500 - 12600,203 - 1362,7500,96,138300
2620,ВР,ВР 30-160-040-1,ВР 30-160-040,400,450 - 11410,212 - 1181,4000,81,94900
2621,ВР,ВР 30-160-040-5,ВР 30-160-040,400,520 - 11180,238 - 1317,370,83,57200
2622,ВР,ВР 30-160-040-3,ВР 30-160-040,400,480 - 14230,230 - 1277,180,94,51100
2623,ВР,ВР 30-160-040-2,ВР 30-160-040,400,380 - 13980,235 - 1213,3000,83,82300
2624,ВР,ВР 30-160-040-5,ВР 30-160-040,400,530 - 11490,233 - 1141,750,88,55400
2625,ВР,ВР 30-160-040-2,ВР 30-160-040,400,490 - 10040,245 - 1301,750,89,60400
2626,ВР,ВР 30-160-040-1,ВР 30-160-040,400,400 - 10830,212 - 1242,15000,100,225300
2627,ВР,ВР 30-160-040-5,ВР 30-160-040,400,400 - 13210,236 - 1152,1500,96,74000
2628,ВР,ВР 30-160-040-5,ВР 30-160-040,400,520 - 10520,238 - 1303,370,89,59400
2629,ВР,ВР 30-160-040-5,ВР 30-160-040,400,520 - 11670,239 - 1253,250,78,53800
2630,ВР,ВР 30-160-040-5,ВР 30-160-040,400,450 - 14280,228 - 1270,11000,97,177400
2631,ВР,ВР 30-160-040-1,ВР 30-160-040,400,430 - 12420,212 - 1183,2200,98,71700
2632,ВР,ВР 30-160-040-5,ВР 30-160-040,400,480 - 10250,232 - 1288,15000,92,226600
2633,ВР,ВР 30-160-040-2,ВР 30-160-040,400,440 - 12680,223 - 1245,15000,80,221800
2634,ВР,ВР 30-160-040-3,ВР 30-160-040,400,470 - 14500,208 - 1308,11000,97,173600
2635,ВР,ВР 30-160-040-4,ВР 30-160-040,400,460 - 13260,223 - 1178,3000,102,84700
2636,ВР,ВР 30-160-040-1,ВР 30-160-040,400,480 - 14770,219 - 1340,4000,76,93200
2637,ВР,ВР 30-160-040-2,ВР 30-160-040,400,510 - 13520,230 - 1179,5500,93,120100
2638,ВР,ВР 30-160-040-1,ВР 30-160-040,400,370 - 13420,210 - 1269,7500,76,134700
2639,ВР,ВР 30-160-040-4,ВР 30-160-040,400,520 - 11250,230 - 1190,1500,70,69000
2640,ВР,ВР 30-160-040-4,ВР 30-160-040,400,490 - 11690,243 - 1193,750,98,52000
2641,ВР,ВР 30-160-040-1,ВР 30-160-040,400,510 - 13250,220 - 1263,15000,89,218100
2642,ВР,ВР 30-160-040-2,ВР 30-160-040,400,400 - 12370,219 - 1137,180,91,53500
2643,ВР,ВР 30-160-040-5,ВР 30-160-040,400,510 - 10850,222 - 1209,1500,93,70800
2644,ВР,ВР 30-160-040-4,ВР 30-160-040,400,480 - 10190,223 - 1319,2200,84,79500
2645,ВР,ВР 30-160-040-5,ВР 30-160-040,400,450 - 12870,240 - 1293,180,70,45200
2646,ВР,ВР 30-160-040-2,ВР 30-160-040,400,530 - 12280,205 - 1158,550,78,53000
2647,ВР,ВР 30-160-040-2,ВР 30-160-040,400,500 - 13220,208 - 1259,11000,73,177400
2648,ВР,ВР 30-160-040-2,ВР 30-160-040,400,410 - 14150,237 - 1229,15000,101,226200
2649,ВР,ВР 30-160-040-1,ВР 30-160-040,400,470 - 12190,205 - 1315,7500,72,139500
2650,ВР,ВР 30-160-040-3,ВР 30-160-040,400,410 - 10030,226 - 1347,370,103,57000
2651,ВР,ВР 30-160-040-1,ВР 30-160-040,400,460 - 13130,244 - 1179,180,74,57500
2652,ВР,ВР 30-160-040-5,ВР 30-160-040,400,360 - 13450,224 - 1289,3000,91,88000
2653,ВР,ВР 30-160-040-5,ВР 30-160-040,400,400 - 11240,213 - 1210,3000,80,77700
2654,ВР,ВР 30-160-040-1,ВР 30-160-040,400,490 - 11930,224 - 1153,1500,97,66600
2655,ВР,ВР 30-160-040-5,ВР 30-160-040,400,470 - 12220,223 - 1270,3000,76,81000
2656,ВР,ВР 30-160-040-3,ВР 30-160-040,400,450 - 12940,241 - 1348,4000,94,93100
2657,ВР,ВР 30-160-040-5,ВР 30-160-040,400,530 - 10390,212 - 1236,7500,101,140200
2658,ВР,ВР 30-160-040-5,ВР 30-160-040,400,460 - 14160,236 - 1295,7500,103,132500
2659,ВР,ВР 30-160-040-4,ВР 30-160-040,400,460 - 12850,207 - 1251,1500,103,68200
2660,ВР,ВР 30-160-040-2,ВР 30-160-040,400,390 - 11130,215 - 1270,750,81,65700
2661,ВР,ВР 30-160-040-1,ВР 30-160-040,400,390 - 13320,229 - 1184,370,85,55500
2662,ВР,ВР 30-160-040-2,ВР 30-160-040,400,400 - 14510,234 - 1203,750,103,51800
2663,ВР,ВР 30-160-040-5,ВР 30-160-040,400,370 - 11780,213 - 1226,550,79,53000
2664,ВР,ВР 30-160-040-5,ВР 30-160-040,400,410 - 12470,214 - 1295,370,94,51800
2665,ВР,ВР 30-160-040-1,ВР 30-160-040,400,530 - 10860,246 - 1243,370,93,46400
2666,ВР,ВР 30-160-040-5,ВР 30-160-040,400,460 - 13310,221 - 1279,250,76,47900
2667,ВР,ВР 30-160-040-3,ВР 30-160-040,400,390 - 10660,220 - 1141,750,77,56900
2668,ВР,ВР 30-160-040-1,ВР 30-160-040,400,490 - 12200,220 - 1187,2200,80,70400
2669,ВР,ВР 30-160-040-4,ВР 30-160-040,400,420 - 10310,207 - 1327,750,74,56700
2670,ВР,ВР 30-160-040-2,ВР 30-160-040,400,380 - 10330,247 - 1239,11000,89,174300
2671,ВР,ВР 30-160-040-3,ВР 30-160-040,400,420 - 10370,204 - 1148,550,101,58400
2672,ВР,ВР 30-160-040-1,ВР 30-160-040,400,490 - 11980,231 - 1263,11000,81,179600
2673,ВР,ВР 30-160-040-4,ВР 30-160-040,400,430 - 12810,236 - 1131,1100,78,69500
2674,ВР,ВР 30-160-040-3,ВР 30-160-040,400,420 - 9950,225 - 1360,3000,94,84900
2675,ВР,ВР 30-160-040-3,ВР 30-160-040,400,380 - 11060,247 - 1306,180,82,44800
